n,J,L,S,Experimental_value,uncertainty
1,1,2,1,3778.1,0.7
1,2,2,1,3823.51,0.34
2,1,1,1,3871.64,0.06
2,2,1,1,3922.5,1.0
3,1,0,1,4040.0,4.0
3,1,1,1,4146.5,3.0
4,1,0,1,4221.7,2.5
4,1,1,1,4290.0,6.0
